,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing Position,Minutes,Score At,Type,Goal assist
0,02_03,Liga Portugal,6,2002-10-07,Home,Sporting CP,Moreirense FC,3:0,LW,34,02:00,Solo run,
1,02_03,Liga Portugal,6,2002-10-07,Home,Sporting CP,Moreirense FC,3:0,LW,90+5,03:00,Header,Rui Jorge
2,02_03,Liga Portugal,8,2002-10-26,Away,Sporting CP,Boavista FC,1:2,LW,88,01:02,Right-footed shot,Carlos Martins
3,02_03,Taca de Portugal Placard,Fourth Round,2002-11-24,Home,Sporting CP,CD Estarreja,4:1,LW,67,03:00,Left-footed shot,Cesar Prates
4,02_03,Taca de Portugal Placard,Fifth Round,2002-12-18,Home,Sporting CP,FC Oliveira do Hospital,8:1,LW,13,03:00,,
5,03_04,Premier League,11,2003-11-01,Home,Man.United,Portsmouth FC,3:0,RW,80,02:00,Direct free kick,
6,03_04,FA Cup,Fifth Round,2004-02-14,Home,Man.United,Manchester City,4:2,RW,74,03:00,Right-footed shot,
7,03_04,Premier League,29,2004-03-20,Home,Man.United,Tottenham Hotspur,3:0,RW,89,02:00,Right-footed shot,
8,03_04,Premier League,32,2004-04-10,Away,Man.United,Birmingham City,1:2,RW,60,01:01,Header,Ryan Giggs
9,03_04,Premier League,38,2004-05-15,Away,Man.United,Aston Villa,0:2,RW,4,00:01,Right-footed shot,
10,03_04,FA Cup,Final,2004-05-22,Home,Man.United,Millwall FC,3:0,RW,44,01:00,Header,Gary Neville
11,04_05,Premier League,16,2004-12-04,Home,Man.United,Southampton FC,3:0,RW,87,03:00,Right-footed shot,Gary Neville
12,04_05,FA Cup,Third Round,2005-01-19,Away,Man.United,Exeter City,0:2,RW,9,00:01,,Paul Scholes
13,04_05,Premier League,24,2005-01-22,Home,Man.United,Aston Villa,3:1,RW,8,01:00,Right-footed shot,Louis Saha
14,04_05,Premier League,25,2005-02-01,Away,Man.United,Arsenal FC,2:4,RW,54,02:02,Left-footed shot,Ryan Giggs
15,04_05,Premier League,25,2005-02-01,Away,Man.United,Arsenal FC,2:4,RW,58,02:03,Tap-in,Ryan Giggs
16,04_05,FA Cup,Fifth Round,2005-02-19,Away,Man.United,Everton FC,0:2,RW,58,00:02,Tap-in,Paul Scholes
17,04_05,FA Cup,Sixth Round,2005-03-12,Away,Man.United,Southampton FC,0:4,RW,45+1,00:02,Left-footed shot,Ruud van Nistelrooy
18,04_05,Premier League,30,2005-03-19,Home,Man.United,Fulham FC,1:0,RW,21,01:00,Right-footed shot,Roy Keane
19,04_05,FA Cup,Semi-Finals,2005-04-17,Away,Man.United,Newcastle United,1:4,RW,76,01:04,Right-footed shot,Ruud van Nistelrooy
20,05_06,UEFA Champions League Qualifying,3rd round,2005-08-09,Home,Man.United,Debreceni VSC,3:0,RW,63,03:00,Right-footed shot,Paul Scholes
21,05_06,Premier League,11,2005-10-29,Away,Man.United,Middlesbrough FC,4:1,RW,90,04:01,Header,Paul Scholes
22,05_06,EFL Cup,Round of 16,2005-11-30,Home,Man.United,West Bromwich Albion,3:1,RW,12,01:01,Penalty,
23,05_06,Premier League,20,2005-12-31,Home,Man.United,Bolton Wanderers,4:1,RW,68,03:01,Right-footed shot,Wayne Rooney
24,05_06,Premier League,20,2005-12-31,Home,Man.United,Bolton Wanderers,4:1,RW,90,04:01,Left-footed shot,Ruud van Nistelrooy
25,05_06,Premier League,25,2006-02-04,Home,Man.United,Fulham FC,4:2,RW,14,02:00,Direct free kick,
26,05_06,Premier League,25,2006-02-04,Home,Man.United,Fulham FC,4:2,RW,87,04:02,Right-footed shot,
27,05_06,Premier League,26,2006-02-11,Away,Man.United,Portsmouth FC,1:3,RW,38,00:02,Left-footed shot,
28,05_06,Premier League,26,2006-02-11,Away,Man.United,Portsmouth FC,1:3,RW,45,00:03,Right-footed shot,Wayne Rooney
29,05_06,EFL Cup,Final,2006-02-26,Home,Man.United,Wigan Athletic,4:0,RW,59,03:00,,Louis Saha
30,05_06,Premier League,28,2006-03-06,Away,Man.United,Wigan Athletic,1:2,RW,74,01:01,Right-footed shot,Ruud van Nistelrooy
31,05_06,Premier League,38,2006-05-07,Home,Man.United,Charlton Athletic,4:0,RW,23,02:00,Left-footed shot,Ryan Giggs
32,06_07,Premier League,1,2006-08-20,Home,Man.United,Fulham FC,5:1,RW,19,04:00,,Wayne Rooney
33,06_07,Premier League,6,2006-09-23,Away,Man.United,Reading FC,1:1,CF,73,01:01,,John OShea
34,06_07,Premier League,10,2006-10-28,Away,Man.United,Bolton Wanderers,0:4,RW,82,00:03,,Louis Saha
35,06_07,Premier League,11,2006-11-04,Home,Man.United,Portsmouth FC,3:0,RW,10,02:00,Direct free kick,
36,06_07,Premier League,15,2006-11-29,Home,Man.United,Everton FC,3:0,RW,39,01:00,,
37,06_07,Premier League,17,2006-12-09,Home,Man.United,Manchester City,3:1,RW,84,03:01,,
38,06_07,Premier League,19,2006-12-23,Away,Man.United,Aston Villa,0:3,RW,58,00:01,,
39,06_07,Premier League,19,2006-12-23,Away,Man.United,Aston Villa,0:3,RW,85,00:03,,Gary Neville
40,06_07,Premier League,20,2006-12-26,Home,Man.United,Wigan Athletic,3:1,RW,47,01:00,,Paul Scholes
